surface	subs_rank	wiki_rank	subs_count	wiki_count	worst_rank
gegant	479	1507	95	108	1507
xoc	877	1509	63	108	1509
desconeguda	1518	1467	42	110	1518
literalment	795	1522	67	107	1522
fixa	1523	1099	42	135	1523
guardar	451	1529	98	107	1529
gravar	1532	507	42	222	1532
alliberat	1189	1535	50	106	1535
xinès	1535	867	42	159	1535
aparegut	1162	1536	51	106	1536
espanyol	1538	96	41	539	1538
comporta	1540	1000	41	144	1540
intercanvi	1541	845	41	162	1541
profunda	1551	770	41	172	1551
dissenyat	1554	626	41	197	1554
cristià	1085	1568	53	104	1568
signat	1147	1573	51	104	1573
termini	1576	543	41	213	1576
infantil	1577	587	41	206	1577
volar	198	1580	173	104	1580
rostre	778	1581	69	104	1581
marcat	1581	718	41	181	1581
mode	1590	725	41	180	1590
muralles	1592	756	40	174	1592
infància	1595	746	40	177	1595
saga	161	1596	197	103	1596
japonesos	1605	801	40	167	1605
envoltat	1608	986	40	146	1608
encarregar	1612	699	40	184	1612
llegat	1619	1198	40	127	1619
àfrica	1204	1620	50	102	1620
cobrir	1620	858	40	160	1620
notar	1521	1621	42	102	1621
creuar	438	1624	100	102	1624
amo	130	1636	215	102	1636
aigües	1636	80	40	590	1636
procediment	1640	712	40	182	1640
localització	1181	1641	50	101	1641
rescat	724	1643	72	101	1643
aeri	1626	1647	40	101	1647
regiment	1648	1615	40	102	1648
recull	1651	529	40	216	1651
recórrer	1656	738	39	178	1656
francesos	1658	157	39	422	1658
afores	1572	1660	41	100	1660
sencer	308	1661	128	100	1661
interna	1661	578	39	207	1661
supervivència	1487	1662	43	100	1662
aparell	1662	367	39	258	1662
cercar	948	1669	58	100	1669
conducta	1680	911	39	154	1680
profundament	789	1682	67	99	1682
múltiples	1685	232	39	334	1685
àcid	1686	497	39	225	1686
adequada	1695	1016	39	143	1695
guitarra	1698	567	39	210	1698
recepció	684	1700	74	98	1700
tir	1227	1704	49	98	1704
tindre	277	1705	134	98	1705
encarrega	1706	1289	39	121	1706
creador	1707	1450	38	111	1707
bombes	410	1718	105	97	1718
foren	1722	19	38	1465	1722
le	1723	565	38	211	1723
judicial	1724	887	38	157	1724
concentració	1725	268	38	306	1725
comunista	1694	1736	39	97	1736
iniciativa	1743	506	38	222	1743
eixos	1745	817	38	165	1745
cinquè	1748	897	38	156	1748
traduït	1060	1751	54	96	1751
emocional	1594	1753	40	96	1753
guàrdia	50	1754	413	96	1754
captura	1754	1075	38	137	1754
tresor	105	1756	244	96	1756
portal	1756	111	38	510	1756
localitzar	828	1758	65	96	1758
acordar	1761	1378	38	115	1761
lletres	1764	160	38	415	1764
b	1248	1770	49	96	1770
barreja	1770	558	38	211	1770
cadascuna	1777	349	37	266	1777
con	1040	1780	55	95	1780
vital	765	1782	69	95	1782
gravació	1782	1355	37	116	1782
t	4	1792	13891	95	1792
reconegut	1792	411	37	246	1792
voluntaris	1794	1301	37	120	1794
parents	1135	1802	52	94	1802
combatre	1803	888	37	157	1803
càstig	460	1807	96	94	1807
solen	1808	148	37	440	1808
completar	1810	261	37	309	1810
afers	1509	1814	42	94	1814
artilleria	1823	643	37	195	1823
rang	1828	279	37	302	1828
