surface	subs_rank	wiki_rank	subs_count	wiki_count	worst_rank
رسیدگی	969	1022	1987	241	1022
چین	1022	199	1865	1011	1022
پایگاه	1024	437	1864	562	1024
ترین	185	1027	10228	240	1027
برج	1028	507	1854	484	1028
کف	1032	895	1847	275	1032
ظاهر	1033	251	1845	823	1033
فرودگاه	1035	907	1844	272	1035
انسانی	1041	253	1829	820	1041
فضایی	1042	442	1828	554	1042
مختلف	1050	22	1807	3269	1050
تن	1052	149	1801	1203	1052
عاشق	164	1053	11035	235	1053
یخ	644	1055	3078	235	1055
دبیرستان	1058	655	1779	378	1058
ملکه	409	1062	4798	234	1062
عیسی	936	1064	2059	233	1064
مسیح	474	1066	4127	233	1066
ایالات	1068	67	1753	1867	1068
خیابان	1069	334	1752	709	1069
وسط	367	1081	5450	230	1081
هیئت	1081	277	1733	789	1081
خدایان	902	1082	2118	230	1082
انجمن	1084	220	1723	946	1084
ال	987	1085	1952	230	1085
راس	708	1089	2810	228	1089
تهیه	1089	193	1713	1019	1089
تست	984	1090	1963	228	1090
امتیاز	1090	458	1713	535	1090
هتل	486	1095	4079	227	1095
کامپیوتر	1098	742	1689	331	1098
یو	1104	1099	1676	227	1104
پیروز	1105	780	1674	317	1105
متعلق	1107	443	1672	553	1107
وجه	1108	1043	1669	237	1108
اوضاع	283	1112	6783	223	1112
اولیه	1114	140	1660	1251	1114
جفت	1115	1023	1659	241	1115
هدایت	1117	400	1655	622	1117
نوار	1121	751	1647	327	1121
آلمانی	1125	371	1637	650	1125
لحظه	87	1126	16789	221	1126
کد	1129	478	1625	508	1129
سؤال	1131	859	1623	288	1131
سالن	1133	774	1618	319	1133
ویلیام	1135	904	1616	274	1135
افتاده	130	1138	12786	219	1138
هند	1138	205	1608	980	1138
خاطرات	1063	1142	1766	218	1142
پایه	1142	218	1596	950	1142
تشکیل	1147	21	1591	3279	1147
مثلاً	1151	592	1586	417	1151
مخدر	1152	886	1585	278	1152
دیوید	475	1155	4127	216	1155
آواز	1159	879	1571	281	1159
کاخ	1160	551	1571	451	1160
دفن	1165	785	1562	316	1165
تعلق	1167	865	1557	286	1167
مرتبه	848	1170	2276	213	1170
مرده	140	1174	12033	213	1174
نسل	1177	398	1542	623	1177
مراقبت	379	1180	5278	212	1180
دریاچه	1180	630	1539	393	1180
گلوله	428	1184	4602	211	1184
جزئیات	1184	1035	1533	239	1184
ضمن	1188	602	1529	413	1188
حیوانات	1191	537	1527	461	1191
آلمان	1193	86	1524	1708	1193
تقسیم	1198	141	1512	1247	1198
ترجیح	481	1200	4109	209	1200
فرا	1204	928	1506	264	1204
معلوم	679	1205	2931	208	1205
موقع	132	1207	12563	208	1207
تاج	1210	667	1496	369	1210
ماجرا	698	1217	2856	207	1217
علاوه	1218	116	1489	1392	1218
مسابقات	1222	109	1482	1450	1222
ظرف	1206	1227	1499	204	1227
دهه	1229	77	1467	1779	1229
کلمات	1230	1086	1466	229	1230
بعنوان	579	1231	3401	203	1231
اکنون	1237	260	1458	803	1237
ورودی	1238	258	1458	805	1238
ژنرال	681	1242	2928	201	1242
جستجو	1244	831	1452	298	1244
ری	580	1247	3398	201	1247
نقل	1254	246	1438	859	1254
متولد	1255	289	1437	775	1255
د	1257	1083	1433	230	1257
توصیه	1258	747	1432	329	1258
کسب	1263	92	1428	1658	1263
حکومت	1269	78	1421	1776	1269
قول	126	1271	12919	196	1271
نگهبان	730	1277	2700	196	1277
توقف	1278	1214	1414	207	1278
گیر	177	1281	10489	195	1281
خروج	1285	684	1410	361	1285
مسلح	1287	600	1409	414	1287
مرکزی	1288	93	1409	1658	1288
یهودی	1290	501	1405	488	1290
صندوق	974	1295	1983	193	1295
ریچارد	898	1307	2127	191	1307
مطالعه	1308	256	1381	810	1308
طرز	1009	1311	1898	190	1311
فدرال	1312	832	1377	298	1312
ست	58	1313	21401	190	1313
مشترک	1313	248	1377	851	1313
جمهوری	1314	58	1375	2063	1314
هشدار	694	1315	2868	189	1315
دخالت	1315	991	1374	249	1315
جین	460	1318	4241	189	1318
